"","emic_component","functional_component","morphological_component","raw_material_component","technological_component","n","percentage"
"1","no","no","no","no","explicit",43,0.383928571428571
"2","no","explicit","no","no","explicit",27,0.241071428571429
"3","no","explicit","no","no","no",18,0.160714285714286
"4","no","implicit","no","no","explicit",13,0.116071428571429
"5","no","explicit","explicit","no","explicit",5,0.0446428571428571
"6","no","explicit","explicit","no","no",2,0.0178571428571429
"7","no","explicit","explicit","no","implicit",1,0.00892857142857143
"8","no","explicit","no","no","implicit",1,0.00892857142857143
"9","no","implicit","explicit","no","explicit",1,0.00892857142857143
"10","no","no","no","explicit","explicit",1,0.00892857142857143
